,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_count,param_dim_reduce,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
72,2.315673303604126,0.04266177262030331,0.15983548164367675,0.006352367210085797,"LogisticRegression(C=10.0, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')","CountVectorizer(min_df=3,
                preprocessor=<function preprocessNoCompress at 0x177105ca0>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': LogisticRegression(C=10.0, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear'), 'count': CountVectorizer(min_df=3,
                preprocessor=<function preprocessNoCompress at 0x177105ca0>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9789156626506024,0.9759036144578314,0.9637462235649547,0.972809667673716,0.9697885196374623,0.9722327375969133,0.005224266347779415,1
97,9.268960809707641,0.10046453230494262,2.0126434326171876,0.07632496717776806,"LogisticRegression(C=10.0, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')","CountVectorizer(min_df=3,
                preprocessor=<function preprocessStemNC at 0x177105ee0>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': LogisticRegression(C=10.0, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear'), 'count': CountVectorizer(min_df=3,
                preprocessor=<function preprocessStemNC at 0x177105ee0>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9819277108433735,0.9819277108433735,0.9607250755287009,0.9667673716012085,0.9667673716012085,0.971623048083573,0.008698196861372577,2
87,1.8150075912475585,0.021375843953056875,0.15536961555480958,0.006162211970279047,"LogisticRegression(C=10.0, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')","CountVectorizer(min_df=5,
                preprocessor=<function preprocessNoCompress at 0x177105ca0>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': LogisticRegression(C=10.0, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear'), 'count': CountVectorizer(min_df=5,
                preprocessor=<function preprocessNoCompress at 0x177105ca0>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9728915662650602,0.9789156626506024,0.9516616314199395,0.9818731117824774,0.9637462235649547,0.9698176391366069,0.010991452895945773,3
27,1.9737127780914308,0.05985738739867903,0.18374624252319335,0.005624239567971207,SVC(kernel='linear'),"CountVectorizer(min_df=5,
                preprocessor=<function preprocessNoCompress at 0x177105ca0>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': SVC(kernel='linear'), 'count': CountVectorizer(min_df=5,
                preprocessor=<function preprocessNoCompress at 0x177105ca0>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9789156626506024,0.9819277108433735,0.9546827794561934,0.9667673716012085,0.9637462235649547,0.9692079496232665,0.010027955511647126,4
189,10.898173236846924,0.7750232341758619,2.0799567222595217,0.08775616035020022,GaussianNB(),"CountVectorizer(min_df=3, preprocessor=<function preprocessStem at 0x177105d30>,
                stop_words='english')","NMF(init='random', n_components=50, random_state=42)","{'clf': GaussianNB(), 'count': CountVectorizer(min_df=3, preprocessor=<function preprocessStem at 0x177105d30>,
                stop_words='english'), 'dim_reduce': NMF(init='random', n_components=50, random_state=42)}",0.9608433734939759,0.9819277108433735,0.9788519637462235,0.9637462235649547,0.9577039274924471,0.9686146398281948,0.009850668625842773,5
147,1.8109580516815185,0.010936725306554505,0.15530014038085938,0.005795683407165927,"LogisticRegression(C=10.0, max_iter=5000, random_state=42, solver='liblinear')","CountVectorizer(min_df=5,
                preprocessor=<function preprocessNoCompress at 0x177105ca0>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': LogisticRegression(C=10.0, max_iter=5000, random_state=42, solver='liblinear'), 'count': CountVectorizer(min_df=5,
                preprocessor=<function preprocessNoCompress at 0x177105ca0>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9759036144578314,0.9819277108433735,0.9516616314199395,0.9697885196374623,0.9637462235649547,0.9686055399847122,0.010419698285267957,6
112,9.03096661567688,0.08414987374710381,2.0139610290527346,0.07700432362469897,"LogisticRegression(C=10.0, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')","CountVectorizer(min_df=5,
                preprocessor=<function preprocessStemNC at 0x177105ee0>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': LogisticRegression(C=10.0, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear'), 'count': CountVectorizer(min_df=5,
                preprocessor=<function preprocessStemNC at 0x177105ee0>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9819277108433735,0.9759036144578314,0.9607250755287009,0.9637462235649547,0.9607250755287009,0.9686055399847122,0.008701247307769132,6
67,9.383265161514283,0.13111449622683666,2.0528791904449464,0.08155597489489938,"LogisticRegression(C=10.0, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')","CountVectorizer(min_df=3, preprocessor=<function preprocessStem at 0x177105d30>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': LogisticRegression(C=10.0, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear'), 'count': CountVectorizer(min_df=3, preprocessor=<function preprocessStem at 0x177105d30>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9819277108433735,0.9759036144578314,0.9577039274924471,0.9667673716012085,0.9607250755287009,0.9686055399847122,0.009111178468042836,6
37,9.453278350830079,0.13362405308523914,2.0476815700531006,0.08014278340843928,SVC(kernel='linear'),"CountVectorizer(min_df=3,
                preprocessor=<function preprocessStemNC at 0x177105ee0>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': SVC(kernel='linear'), 'count': CountVectorizer(min_df=3,
                preprocessor=<function preprocessStemNC at 0x177105ee0>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9879518072289156,0.9789156626506024,0.9486404833836858,0.9607250755287009,0.9667673716012085,0.9686000800786226,0.013745258125970036,9
132,2.163398599624634,0.05241007991018693,0.15856609344482422,0.006937867253153502,"LogisticRegression(C=10.0, max_iter=5000, random_state=42, solver='liblinear')","CountVectorizer(min_df=3,
                preprocessor=<function preprocessNoCompress at 0x177105ca0>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': LogisticRegression(C=10.0, max_iter=5000, random_state=42, solver='liblinear'), 'count': CountVectorizer(min_df=3,
                preprocessor=<function preprocessNoCompress at 0x177105ca0>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9759036144578314,0.9789156626506024,0.9516616314199395,0.9697885196374623,0.9637462235649547,0.968003130346158,0.009693858549775764,10
157,9.341797065734863,0.14601601010662324,2.0186489105224608,0.07736198185098118,"LogisticRegression(C=10.0, max_iter=5000, random_state=42, solver='liblinear')","CountVectorizer(min_df=3,
                preprocessor=<function preprocessStemNC at 0x177105ee0>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': LogisticRegression(C=10.0, max_iter=5000, random_state=42, solver='liblinear'), 'count': CountVectorizer(min_df=3,
                preprocessor=<function preprocessStemNC at 0x177105ee0>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9819277108433735,0.9789156626506024,0.9486404833836858,0.9667673716012085,0.9637462235649547,0.967999490408765,0.011895694090604075,11
172,9.862458896636962,0.615139479878174,2.1212010860443113,0.1270304958311463,"LogisticRegression(C=10.0, max_iter=5000, random_state=42, solver='liblinear')","CountVectorizer(min_df=5,
                preprocessor=<function preprocessStemNC at 0x177105ee0>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': LogisticRegression(C=10.0, max_iter=5000, random_state=42, solver='liblinear'), 'count': CountVectorizer(min_df=5,
                preprocessor=<function preprocessStemNC at 0x177105ee0>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9819277108433735,0.9759036144578314,0.9486404833836858,0.9667673716012085,0.9637462235649547,0.9673970807702107,0.011393292440665401,12
12,2.258022689819336,0.07796530188138245,0.18734121322631836,0.005641003509512081,SVC(kernel='linear'),"CountVectorizer(min_df=3,
                preprocessor=<function preprocessNoCompress at 0x177105ca0>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': SVC(kernel='linear'), 'count': CountVectorizer(min_df=3,
                preprocessor=<function preprocessNoCompress at 0x177105ca0>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9789156626506024,0.9789156626506024,0.9516616314199395,0.9637462235649547,0.9637462235649547,0.9673970807702107,0.010388622045217198,12
219,10.999185466766358,0.6648920922432479,2.044490194320679,0.0813876242451797,GaussianNB(),"CountVectorizer(min_df=3,
                preprocessor=<function preprocessStemNC at 0x177105ee0>,
                stop_words='english')","NMF(init='random', n_components=50, random_state=42)","{'clf': GaussianNB(), 'count': CountVectorizer(min_df=3,
                preprocessor=<function preprocessStemNC at 0x177105ee0>,
                stop_words='english'), 'dim_reduce': NMF(init='random', n_components=50, random_state=42)}",0.9698795180722891,0.9728915662650602,0.972809667673716,0.9667673716012085,0.9486404833836858,0.9661977213991919,0.009062694162922257,14
82,9.148740148544311,0.09149474721697773,2.0440444946289062,0.07898530000712871,"LogisticRegression(C=10.0, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')","CountVectorizer(min_df=5, preprocessor=<function preprocessStem at 0x177105d30>,
                stop_words='english')","TruncatedSVD(n_components=500, random_state=42)","{'clf': LogisticRegression(C=10.0, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear'), 'count': CountVectorizer(min_df=5, preprocessor=<function preprocessStem at 0x177105d30>,
                stop_words='english'), 'dim_reduce': TruncatedSVD(n_components=500, random_state=42)}",0.9759036144578314,0.9698795180722891,0.9607250755287009,0.9637462235649547,0.9607250755287009,0.9661959014304953,0.005893547616253208,15
